coin,spot,buy,sell,spread,timestamp
BTC,83704.885,83696.155,83696.155,0.0,2025-03-21 16:15:55
ETH,1955.43,1955.245,1955.245,0.0,2025-03-21 16:15:55
DOGE,0.165695,0.165695,0.16562,7.50000000000195e-05,2025-03-21 16:15:55
BTC,83674.67,83674.67,83674.67,0.0,2025-03-21 16:16:02
ETH,1955.125,1955.43,1955.125,0.30500000000006366,2025-03-21 16:16:02
DOGE,0.165655,0.16562,0.165695,-7.50000000000195e-05,2025-03-21 16:16:02
BTC,83701.59,83701.59,83701.59,0.0,2025-03-21 16:16:09
ETH,1954.83,1955.125,1955.47,-0.3450000000000273,2025-03-21 16:16:09
DOGE,0.16574,0.165655,0.16562,3.500000000000725e-05,2025-03-21 16:16:09
BTC,83697.935,83701.59,83697.935,3.654999999998836,2025-03-21 16:16:16
ETH,1955.94,1955.94,1955.94,0.0,2025-03-21 16:16:16
DOGE,0.165745,0.16574,0.16574,0.0,2025-03-21 16:16:16
BTC,83697.935,83697.935,83697.935,0.0,2025-03-21 16:16:24
ETH,1956.505,1956.505,1956.505,0.0,2025-03-21 16:16:24
DOGE,0.165745,0.165695,0.165745,-4.999999999999449e-05,2025-03-21 16:16:24
BTC,83707.095,83705.04,83705.04,0.0,2025-03-21 16:16:30
ETH,1956.21,1956.365,1956.365,0.0,2025-03-21 16:16:30
DOGE,0.165745,0.16569,0.165695,-5.0000000000050004e-06,2025-03-21 16:16:30
BTC,83706.165,83701.2,83706.165,-4.9649999999965075,2025-03-21 16:16:37
ETH,1955.745,1955.745,1955.745,0.0,2025-03-21 16:16:37
DOGE,0.165695,0.16569,0.165695,-5.0000000000050004e-06,2025-03-21 16:16:37
BTC,83701.2,83701.2,83701.2,0.0,2025-03-21 16:16:44
ETH,1955.93,1955.745,1955.745,0.0,2025-03-21 16:16:44
DOGE,0.16568,0.16576,0.16576,0.0,2025-03-21 16:16:44
BTC,83726.33,83710.745,83726.33,-15.585000000006403,2025-03-21 16:16:51
ETH,1955.93,1955.93,1956.275,-0.3450000000000273,2025-03-21 16:16:51
DOGE,0.16576,0.16576,0.16576,0.0,2025-03-21 16:16:51
BTC,83732.0,83720.24,83720.24,0.0,2025-03-21 16:16:57
ETH,1955.26,1955.26,1956.275,-1.0150000000001,2025-03-21 16:16:57
DOGE,0.16576,0.16576,0.1657,6.0000000000004494e-05,2025-03-21 16:16:57
BTC,83732.0,83732.0,83732.0,0.0,2025-03-21 16:17:05
ETH,1954.965,1955.105,1955.105,0.0,2025-03-21 16:17:05
DOGE,0.16576,0.16576,0.1657,6.0000000000004494e-05,2025-03-21 16:17:05
BTC,83702.855,83702.855,83702.855,0.0,2025-03-21 16:17:12
ETH,1954.49,1954.49,1954.49,0.0,2025-03-21 16:17:12
DOGE,0.1657,0.1657,0.165595,0.00010499999999999399,2025-03-21 16:17:12
BTC,83662.78,83702.855,83702.855,0.0,2025-03-21 16:17:18
ETH,1953.935,1954.345,1954.49,-0.1449999999999818,2025-03-21 16:17:18
DOGE,0.165595,0.16551,0.16551,0.0,2025-03-21 16:17:18
BTC,83667.44,83667.44,83667.44,0.0,2025-03-21 16:17:25
ETH,1953.935,1954.7,1954.7,0.0,2025-03-21 16:17:25
DOGE,0.165595,0.16554,0.16554,0.0,2025-03-21 16:17:25
BTC,83680.17,83680.17,83680.17,0.0,2025-03-21 16:17:32
ETH,1954.7,1953.835,1953.875,-0.03999999999996362,2025-03-21 16:17:32
DOGE,0.16551,0.165485,0.16554,-5.4999999999999494e-05,2025-03-21 16:17:32
BTC,83666.655,83666.655,83666.655,0.0,2025-03-21 16:17:39
ETH,1954.075,1954.075,1953.875,0.20000000000004547,2025-03-21 16:17:39
DOGE,0.16554,0.165525,0.16554,-1.4999999999987246e-05,2025-03-21 16:17:39
BTC,83640.745,83640.745,83640.745,0.0,2025-03-21 16:17:45
ETH,1954.065,1954.075,1954.065,0.009999999999990905,2025-03-21 16:17:45
DOGE,0.165525,0.165435,0.165525,-9.000000000000674e-05,2025-03-21 16:17:45
BTC,83603.14,83603.14,83640.745,-37.604999999995925,2025-03-21 16:17:52
ETH,1954.065,1953.105,1953.105,0.0,2025-03-21 16:17:52
DOGE,0.165485,0.165485,0.165435,4.999999999999449e-05,2025-03-21 16:17:52
BTC,83605.775,83605.775,83605.775,0.0,2025-03-21 16:17:58
ETH,1954.065,1953.235,1953.105,0.12999999999988177,2025-03-21 16:17:58
DOGE,0.165435,0.165435,0.165435,0.0,2025-03-21 16:17:58
BTC,83622.5,83622.5,83622.5,0.0,2025-03-21 16:18:04
ETH,1953.235,1953.235,1952.735,0.5,2025-03-21 16:18:04
DOGE,0.16539,0.16539,0.165445,-5.4999999999999494e-05,2025-03-21 16:18:04
BTC,83616.115,83616.115,83611.485,4.630000000004657,2025-03-21 16:18:10
ETH,1953.235,1952.785,1952.735,0.0500000000001819,2025-03-21 16:18:10
DOGE,0.16543,0.16543,0.16543,0.0,2025-03-21 16:18:10
BTC,83616.115,83658.545,83658.545,0.0,2025-03-21 16:18:17
ETH,1952.89,1952.89,1953.36,-0.4699999999997999,2025-03-21 16:18:17
DOGE,0.16543,0.165395,0.165395,0.0,2025-03-21 16:18:17
BTC,83658.545,83658.545,83661.37,-2.8249999999970896,2025-03-21 16:18:24
ETH,1953.145,1953.36,1952.89,0.4699999999997999,2025-03-21 16:18:24
DOGE,0.1655,0.1655,0.1655,0.0,2025-03-21 16:18:24
BTC,83661.365,83661.37,83661.365,0.004999999990104698,2025-03-21 16:18:30
ETH,1953.145,1953.145,1953.27,-0.125,2025-03-21 16:18:30
DOGE,0.16546,0.16547,0.16547,0.0,2025-03-21 16:18:30
BTC,83671.64,83671.64,83698.075,-26.43499999999767,2025-03-21 16:18:37
ETH,1953.89,1953.27,1953.27,0.0,2025-03-21 16:18:37
DOGE,0.165535,0.165535,0.165535,0.0,2025-03-21 16:18:37
BTC,83698.075,83698.075,83698.075,0.0,2025-03-21 16:18:43
ETH,1953.89,1953.76,1953.375,0.3849999999999909,2025-03-21 16:18:43
DOGE,0.165535,0.165515,0.165575,-6.0000000000004494e-05,2025-03-21 16:18:43
BTC,83683.285,83683.285,83683.285,0.0,2025-03-21 16:18:50
ETH,1953.76,1953.525,1953.89,-0.3650000000000091,2025-03-21 16:18:50
DOGE,0.165535,0.165575,0.165515,6.0000000000004494e-05,2025-03-21 16:18:50
BTC,83683.285,83692.54,83692.54,0.0,2025-03-21 16:18:57
ETH,1953.76,1953.525,1953.525,0.0,2025-03-21 16:18:57
DOGE,0.165595,0.165515,0.16554,-2.4999999999997247e-05,2025-03-21 16:18:57
BTC,83692.78,83700.525,83692.78,7.744999999995343,2025-03-21 16:19:03
ETH,1954.345,1953.845,1953.845,0.0,2025-03-21 16:19:03
DOGE,0.165595,0.165595,0.165595,0.0,2025-03-21 16:19:03
BTC,83702.965,83692.78,83692.78,0.0,2025-03-21 16:19:10
ETH,1954.04,1954.04,1954.04,0.0,2025-03-21 16:19:10
DOGE,0.16553,0.16558,0.16553,4.999999999999449e-05,2025-03-21 16:19:10
BTC,83702.965,83707.865,83702.965,4.900000000008731,2025-03-21 16:19:16
ETH,1954.43,1954.43,1955.235,-0.8049999999998363,2025-03-21 16:19:16
DOGE,0.16553,0.16558,0.16553,4.999999999999449e-05,2025-03-21 16:19:16
BTC,83729.195,83707.865,83726.295,-18.429999999993015,2025-03-21 16:19:23
ETH,1954.43,1954.43,1955.235,-0.8049999999998363,2025-03-21 16:19:23
DOGE,0.16565,0.16565,0.16559,6.0000000000004494e-05,2025-03-21 16:19:23
BTC,83710.915,83726.295,83710.915,15.380000000004657,2025-03-21 16:19:30
ETH,1954.455,1954.575,1954.455,0.12000000000011823,2025-03-21 16:19:30
DOGE,0.16565,0.16559,0.16559,0.0,2025-03-21 16:19:30
BTC,83710.915,83717.855,83710.915,6.940000000002328,2025-03-21 16:19:37
ETH,1954.82,1954.455,1954.82,-0.3650000000000091,2025-03-21 16:19:37
DOGE,0.16559,0.16559,0.16559,0.0,2025-03-21 16:19:37
BTC,83714.23,83717.855,83714.23,3.625,2025-03-21 16:19:43
ETH,1955.005,1955.005,1954.695,0.3100000000001728,2025-03-21 16:19:43
DOGE,0.16559,0.16559,0.1656,-1.0000000000010001e-05,2025-03-21 16:19:43
BTC,83714.23,83714.23,83714.23,0.0,2025-03-21 16:19:50
ETH,1953.885,1953.885,1954.695,-0.8099999999999454,2025-03-21 16:19:50
DOGE,0.16559,0.16546,0.16559,-0.00012999999999999123,2025-03-21 16:19:50
BTC,83683.415,83691.505,83683.415,8.09000000001106,2025-03-21 16:19:56
ETH,1953.49,1953.0,1954.695,-1.6949999999999363,2025-03-21 16:19:56
DOGE,0.16546,0.16546,0.165325,0.00013499999999999623,2025-03-21 16:19:56
BTC,83668.025,83640.9,83668.025,-27.125,2025-03-21 16:20:04
ETH,1953.49,1952.625,1953.0,-0.375,2025-03-21 16:20:04
DOGE,0.165325,0.1653,0.16546,-0.00015999999999999348,2025-03-21 16:20:04
BTC,83640.9,83637.74,83637.74,0.0,2025-03-21 16:20:10
ETH,1952.625,1952.645,1952.645,0.0,2025-03-21 16:20:10
DOGE,0.1653,0.1653,0.165325,-2.4999999999997247e-05,2025-03-21 16:20:10
BTC,83646.3,83637.74,83654.155,-16.414999999993597,2025-03-21 16:20:18
ETH,1953.07,1953.07,1952.645,0.4249999999999545,2025-03-21 16:20:18
DOGE,0.1653,0.16534,0.1653,3.999999999998449e-05,2025-03-21 16:20:18
BTC,83634.865,83634.865,83646.3,-11.434999999997672,2025-03-21 16:20:25
ETH,1953.07,1953.3,1953.3,0.0,2025-03-21 16:20:25
DOGE,0.16535,0.16535,0.16535,0.0,2025-03-21 16:20:25
